record_id,timestamp,shipment_id,candidate_route_id,origin,destination,cargo_type,cargo_weight_kg,cost_sar,total_transit_time_hours,capacity_available_kg,reliability_score,num_connections,priority,airline,distance_km,weather_risk_score,season,load_factor,shc_code,optimization_score
RTE_002313,2025-04-17 16:24:00,SHP_000511,CR_02,HKG,JED,Perishable,1619.19,37591.99,10.59,5238.03,0.89,0,Express,Korean Air Cargo,7800,0.28,Spring,0.82,PER,0.977
RTE_016846,2026-02-25 22:36:00,SHP_003730,CR_05,MIA,JED,Perishable,2085.87,59788.58,21.33,10053.03,0.8,1,Express,Cargolux,11400,0.22,Winter,0.71,ICE,0.535
RTE_006106,2025-11-22 02:22:00,SHP_001362,CR_01,BRU,JED,Pharmaceutical,719.54,16419.91,17.49,4718.85,0.72,2,Standard,Korean Air Cargo,4520,0.19,Monsoon,0.64,ICE,0.573
RTE_018083,2025-10-02 09:46:00,SHP_004007,CR_01,ICN,JED,Valuable,1301.76,50446.84,18.54,11611.67,0.83,1,Express,Singapore Airlines Cargo,8500,0.27,Monsoon,0.77,VAL,0.921
RTE_011336,2025-05-29 15:10:00,SHP_002510,CR_02,CAI,JED,Valuable,1487.73,12745.07,2.42,5859.56,0.85,0,Economy,Singapore Airlines Cargo,1220,0.43,Summer,0.73,VAL,0.905
RTE_017678,2025-08-26 02:50:00,SHP_003914,CR_03,AMS,JED,General,3624.73,17520.65,9.57,13665.43,0.73,1,Standard,Cargolux,4620,0.5,Summer,0.72,GEN,0.666
RTE_001093,2025-10-21 03:44:00,SHP_000241,CR_01,JNB,JED,Pharmaceutical,1428.78,26775.32,11.44,1528.78,0.8,1,Standard,Etihad Cargo,6400,0.28,Monsoon,0.7,PER,0.515
RTE_008365,2025-11-16 02:37:00,SHP_001863,CR_01,JNB,JED,Dangerous,3749.45,31488.24,13.59,9748.74,0.8,1,Standard,Singapore Airlines Cargo,6400,0.22,Monsoon,0.74,DGR,0.818
RTE_018551,2025-07-23 06:43:00,SHP_004112,CR_02,ADD,JED,Perishable,2310.72,14213.57,7.12,12793.3,0.76,1,Express,Cathay Cargo,1650,0.38,Summer,0.95,FRO,0.621
RTE_011424,2025-07-23 01:53:00,SHP_002527,CR_03,BOM,JED,Pharmaceutical,574.64,18869.65,11.11,11601.73,0.78,1,Express,Korean Air Cargo,3650,0.35,Summer,0.92,PER,0.602
RTE_006758,2025-03-06 13:24:00,SHP_001501,CR_04,NRT,JED,Valuable,308.61,26961.39,17.3,5846.97,0.82,1,Standard,Singapore Airlines Cargo,9500,0.26,Spring,0.55,VAL,0.749
RTE_012894,2025-11-27 12:15:00,SHP_002852,CR_02,LHR,JED,Heavy,3874.51,31383.18,6.47,13723.38,0.9,0,Standard,Singapore Airlines Cargo,4740,0.17,Monsoon,0.92,ELM,0.821
RTE_017447,2025-11-16 18:34:00,SHP_003864,CR_02,BRU,JED,Heavy,9494.78,55141.06,8.02,9990.18,0.9,0,Standard,Korean Air Cargo,4520,0.23,Monsoon,0.76,ELI,0.949
RTE_011824,2025-11-16 11:34:00,SHP_002616,CR_01,KWI,JED,Dangerous,2546.41,11882.12,6.58,10511.86,0.84,1,Economy,Lufthansa Cargo,1250,0.22,Monsoon,0.67,CAO,0.938
